iter	Passed	Remaining
0	58	57957
1	59	29867
2	62	20702
3	64	16142
4	66	13328
5	69	11459
6	71	10165
7	73	9159
8	75	8343
9	77	7707
10	79	7164
11	82	6755
12	84	6379
13	85	6053
14	88	5793
15	90	5556
16	92	5355
17	94	5154
18	96	4983
19	98	4829
20	100	4691
21	103	4590
22	105	4473
23	107	4370
24	109	4273
25	111	4186
26	113	4104
27	116	4030
28	118	3962
29	120	3898
30	122	3831
31	124	3768
32	126	3718
33	129	3669
34	131	3615
35	134	3590
36	135	3539
37	138	3516
38	140	3469
39	143	3436
40	145	3407
41	148	3376
42	150	3344
43	152	3308
44	154	3282
45	156	3254
46	158	3219
47	161	3194
48	163	3163
49	165	3137
50	166	3106
51	169	3081
52	170	3054
53	172	3028
54	175	3007
55	177	2984
56	178	2961
57	180	2939
58	183	2921
59	185	2899
60	186	2876
61	188	2854
62	190	2839
63	192	2819
64	194	2802
65	196	2787
66	198	2770
67	201	2755
68	202	2738
69	205	2726
70	207	2710
71	209	2697
72	211	2683
73	213	2676
74	215	2663
75	217	2648
76	219	2634
77	221	2619
78	223	2607
79	225	2594
80	227	2581
81	229	2569
82	231	2560
83	233	2549
84	236	2540
85	237	2528
86	240	2518
87	242	2512
88	244	2500
89	246	2490
90	248	2480
91	250	2470
92	252	2460
93	254	2451
94	256	2440
95	258	2431
96	260	2421
97	262	2413
98	264	2405
99	265	2393
100	268	2387
101	270	2377
102	272	2370
103	273	2360
104	276	2352
105	278	2345
106	279	2336
107	282	2330
108	284	2324
109	286	2319
110	288	2313
111	290	2306
112	292	2299
113	295	2293
114	297	2289
115	299	2282
116	301	2276
117	303	2270
118	305	2262
119	307	2257
120	309	2250
121	311	2243
122	313	2237
123	316	2233
124	318	2226
125	320	2220
126	322	2214
127	324	2208
128	326	2204
129	328	2199
130	330	2194
131	333	2189
132	335	2185
133	337	2179
134	339	2174
135	341	2169
136	343	2164
137	345	2160
138	348	2158
139	350	2153
140	352	2148
141	354	2144
142	357	2140
143	359	2135
144	361	2128
145	363	2124
146	365	2119
147	367	2114
148	369	2109
149	371	2105
150	373	2100
151	375	2095
152	377	2090
153	379	2085
154	381	2081
155	383	2076
156	385	2071
157	388	2067
158	390	2064
159	392	2059
160	394	2055
161	396	2050
162	398	2045
163	400	2041
164	402	2037
165	404	2032
166	406	2028
167	408	2023
168	410	2019
169	412	2014
170	414	2010
171	416	2005
172	418	2000
173	420	1997
174	422	1991
175	424	1987
176	426	1982
177	428	1978
178	430	1975
179	433	1973
180	435	1969
181	436	1964
182	439	1960
183	440	1955
184	442	1950
185	444	1946
186	446	1941
187	448	1938
188	450	1933
189	452	1930
190	454	1925
191	456	1921
192	459	1919
193	461	1915
194	463	1912
195	465	1908
196	467	1903
197	469	1900
198	470	1895
199	472	1891
200	474	1887
201	476	1884
202	478	1880
203	480	1876
204	482	1872
205	485	1869
206	486	1865
207	489	1863
208	491	1859
209	493	1856
210	495	1851
211	497	1848
212	499	1844
213	501	1841
214	503	1838
215	505	1834
216	507	1831
217	509	1827
218	511	1823
219	513	1819
220	514	1814
221	516	1811
222	518	1808
223	520	1804
224	522	1801
225	525	1798
226	526	1794
227	528	1790
228	530	1786
229	532	1783
230	534	1779
231	536	1775
232	538	1772
233	540	1769
234	542	1766
235	544	1763
236	547	1761
237	548	1757
238	550	1754
239	553	1751
240	555	1749
241	557	1745
242	559	1742
243	561	1739
244	563	1737
245	565	1734
246	567	1730
247	569	1728
248	571	1724
249	573	1721
250	576	1719
251	578	1717
252	580	1713
253	582	1710
254	584	1708
255	586	1704
256	588	1701
257	590	1698
258	592	1695
259	594	1692
260	596	1689
261	598	1685
262	600	1682
263	602	1680
264	604	1677
265	607	1676
266	609	1672
267	611	1670
268	613	1667
269	616	1665
270	618	1662
271	619	1659
272	622	1656
273	624	1653
274	626	1650
275	628	1648
276	630	1645
277	632	1642
278	634	1638
279	636	1635
280	638	1633
281	640	1630
282	642	1627
283	644	1624
284	646	1621
285	648	1618
286	650	1615
287	652	1612
288	653	1608
289	655	1605
290	658	1603
291	660	1601
292	662	1598
293	664	1595
294	666	1592
295	668	1589
296	670	1587
297	673	1585
298	675	1583
299	677	1580
300	679	1577
301	681	1574
302	683	1572
303	685	1569
304	687	1566
305	689	1563
306	691	1560
307	693	1558
308	695	1555
309	697	1552
310	699	1550
311	701	1547
312	703	1544
313	706	1542
314	708	1540
315	710	1537
316	711	1533
317	714	1532
318	716	1529
319	718	1527
320	720	1524
321	722	1522
322	724	1519
323	726	1516
324	729	1514
325	731	1512
326	733	1509
327	735	1506
328	737	1504
329	739	1501
330	741	1499
331	743	1496
332	745	1494
333	748	1491
334	750	1490
335	752	1487
